child,parent
DB01077,M05BB01
DB00795,G01AE10
DB00795,A07EC01
DB09130,Drug
DB06773,H05BA03
DB01083,A08AB01
DB06779,B01AB04
DB01088,B01AC11
DB00741,S03CA04
DB00741,D07AA02
DB00741,D07BA04
DB00741,R01AD60
DB00741,A01AC03
DB00741,S01BB01
DB00741,S01CA03
DB00741,S02CA03
DB00741,S02BA01
DB00741,C05AA01
DB00741,S01CB03
DB00741,A07EA02
DB00741,D07XA01
DB00741,H02AB09
DB00741,S01BA02
DB00741,D07CA01
DB00740,N07XX02
DB06774,M02AB01
DB06774,N01BX04
DB04115,Drug
DB00746,V03AC01
DB00749,M01AB08
DB00753,N01AB06
DB00750,N01BB54
DB00750,N01BB04
DB00754,N03AB01
DB00755,L01XF01
DB00755,D10AD01
DB00755,D10AD51
DB06782,V03AB09
DB01092,C01AC01
DB14533,B05XA12
DB14533,C05AX04
DB14539,Drug
DB01222,R03AK12
DB01222,D07AC09
DB01222,R03AL11
DB01222,A07EA06
DB01222,R01AD05
DB01222,R03BA02
DB01222,R03AK07
DB01223,R03DA05
DB01223,R03DA20
DB01223,R03DB05
DB01223,R03DA55
DB01229,L01CD01
DB01228,C01BC08
DB14542,Drug
DB14543,D07AB11
DB14540,D07AB02
DB14540,D07BB04
DB01097,L04AA13
DB14541,Drug
DB01095,C10AA04
DB14544,Drug
DB14548,C05AX04
DB01234,S02CA06
DB01234,R01AD53
DB01234,D07CB04
DB01234,R01AD03
DB01234,S02BA06
DB01234,S01BA01
DB01234,S03CA01
DB01234,S03BA01
DB01234,D07AB19
DB01234,S01CB01
DB01234,S01CA01
DB01234,D10AA03
DB01234,C05AA09
DB01234,H02AB02
DB01234,A01AC02
DB01234,D07XB05
DB01099,D01AE21
DB01099,J02AX01
DB01244,C08EA02
DB01241,C10AB04
DB01248,L01CD02
DB14568,L01XX62
DB01020,C01DA14
DB06713,G03AA13
DB01250,A07EC03
DB01254,L01EA02
DB01024,L04AA06
DB01021,C03AB06
DB01021,G01AE10
DB01021,C03EA02
DB01021,C03AA06
DB01022,B02BA01
DB01259,L01EH01
DB09140,V03AN01
DB01029,C09DB05
DB01029,C09DA04
DB01029,C09CA04
DB01029,C09DX07
DB15822,L01EX23
DB09148,V09AX06
DB09149,V09AX05
DB01035,C01BA02
DB09151,V09AX04
DB14500,C03AB06
DB14500,C03BB04
DB14500,C03CB02
DB14500,C03AB04
DB14500,C03BB02
DB14500,C03AB09
DB14500,C03AB02
DB14500,C03CB01
DB14500,C03BB05
DB14500,C03AB05
DB14500,C03AB03
DB14500,C03BB07
DB14500,C03BB03
DB14500,C03AB01
DB14500,C03AB07
DB14500,C03AB08
DB14501,B03AA01
DB14507,Drug
DB06725,M01AC05
DB01033,L01BB02
DB01033,R03DA20
DB01039,C10AB05
DB01039,C10BA09
DB01039,C10BA12
DB01039,C10BA03
DB01039,C10BA04
DB14509,Drug
DB14517,A02AB03
DB14518,Drug
DB15685,L01EX22
DB01200,N04BC01
DB01200,G02CB01
DB14520,V03AE08
DB06736,M02AA25
DB06736,M01AB16
DB01048,J05AR04
DB01048,J05AR02
DB01048,J05AF06
DB01048,J05AR13
DB02546,L01XH01
DB05679,L04AC05
DB01050,G02CC01
DB01050,N02AJ19
DB01050,M02AA13
DB01050,C01EB16
DB01050,N02AJ08
DB01050,M01AE51
DB01050,R02AX02
DB01050,M01AE01
DB03017,Drug
DB01056,C01BB03
DB15694,Drug
DB01262,L01BC08
DB01261,A10BD24
DB01261,A10BD07
DB01261,A10BD12
DB01261,A10BH51
DB01261,A10BH01
DB01269,L01FE02
DB01268,L01EX01
DB13257,Drug
DB01270,S01LA04
DB01277,H01AC03
DB01275,C02DB02
DB01275,C02LG02
DB01283,M01AH06
DB01281,L04AA24
DB01296,M01AX05
DB03088,A12CC08
DB16390,Drug
DB00811,J05AP01
DB00812,M01BA01
DB00812,M02AA01
DB00812,M01AA01
DB00814,M01AC06
DB00814,M01AC56
DB00814,N01BB59
DB00821,Drug
DB06137,D06BX03
DB06144,N05AE03
DB15091,L04AA44
DB00843,N06DA02
DB00843,N06DA52
DB00843,N06DA53
DB15035,L01EL03
DB00800,C01CA19
DB12872,Drug
DB00893,Drug
DB09228,B06AC04
DB09237,C08CA17
DB09241,V04CG05
DB09241,V03AB17
DB11571,Drug
DB11572,Drug
DB06154,C01DA05
DB06154,C01DA55
DB06151,R05CB01
DB06151,V03AB23
DB06151,S01XA08
DB06153,N02CX01
DB06152,G02CA02
DB06152,C04AA02
DB00851,L01AX04
DB00852,R01BA52
DB00852,R01BA02
DB00861,N02BA11
DB00864,D11AH01
DB00864,L04AD02
DB00868,R05DB01
DB06176,L01XH02
DB00870,M01AE07
DB00877,S01XA23
DB00877,L04AA10
DB03904,B05BC02
DB03904,D02AE51
DB03904,D02AE01
DB09214,M02AA27
DB09214,M01AE17
DB09214,N02AJ14
DB09212,M02AA31
DB09213,M01AE14
DB06186,L01FX04
DB09216,M01AG02
DB00011,L03AB06
DB00015,B01AD07
DB01346,Drug
DB01345,Drug
DB00013,B01AD04
DB00018,Drug
DB12001,L01EF03
DB14669,Drug
DB00022,L03AB10
DB00022,L03AB60
DB00020,L03AA09
DB00025,B02BD02
DB00028,Drug
DB00029,B01AD03
DB12010,B02BX09
DB12015,L01EM03
DB13346,M02AA09
DB13346,M01AB17
DB00033,Drug
DB00034,L03AB04
DB00031,B01AD11
DB01367,N04BD02
DB00036,B02BD08
DB00039,V03AF08
DB00041,L03AC01
DB01370,Drug
DB00045,Drug
DB00042,M03AX01
DB01378,Drug
DB11581,L01XX52
DB01303,R03DA20
DB01303,R03DA02
DB01303,R03DB02
DB11595,L01FF05
DB09270,C01EB09
DB14631,Drug
DB09282,C01DX12
DB01320,N03AB05
DB02659,A05AA03
DB01327,J01DB04
DB14649,Drug
DB00004,L01XX29
DB00005,L04AB01
DB00002,L01FE01
DB00008,L03AB11
DB00008,L03AB61
DB00009,S01XA13
DB00009,B01AD02
DB15102,L01EN02
DB00091,L04AD01
DB00091,S01XA18
DB00092,L04AA15
DB00095,L04AA21
DB08813,B01AB06
DB08814,B01AC18
DB00098,L04AA04
DB08818,S01KA51
DB08818,D03AX05
DB08818,M09AX01
DB08818,S01KA01
DB08818,R01AX09
DB15119,L03AB15
DB03147,Drug
DB08834,Drug
DB15133,L01EX21
DB00051,L04AB04
DB01380,Drug
DB00055,B01AD10
DB00056,L01FX02
DB00054,B01AC13
DB01394,M04AC01
DB00063,B01AC16
DB01393,C10AB02
DB00060,L03AB07
DB00061,L03AX04
DB01396,C01AA04
DB00065,L04AB02
DB00068,L03AB08
DB01399,N02BA06
DB00069,L03AB09
DB00074,L04AC02
DB00072,L01FD01
DB00072,L01XY02
DB00075,L04AA02
DB00083,M03AX01
DB08804,Drug
DB05773,L01FD03
DB00928,L01BC07
DB08895,L04AA29
DB08896,L01EX05
DB00936,D01AE12
DB00936,N02BA04
DB00936,S01BC08
DB00936,N02BA12
DB00935,S01GA04
DB00935,D11AX27
DB00935,R01AA05
DB00935,R01AB07
DB00939,M02AA18
DB00939,M01AG04
DB00945,C10BX05
DB00945,A01AD05
DB00945,C07FX03
DB00945,B01AC56
DB00945,N02AJ07
DB00945,B01AC06
DB00945,C10BX08
DB00945,C10BX01
DB00945,C10BX02
DB00945,C10BX12
DB00945,C10BX06
DB00945,N02AJ02
DB00945,C07FX04
DB00945,C10BX04
DB00945,C07FX02
DB00945,N02AJ18
DB00945,N02BA71
DB00945,N02BA51
DB00945,M01BA03
DB00945,N02BA01
DB00946,B01AA04
DB00949,N03AX10
DB11601,Drug
DB11605,Drug
DB11607,Drug
