node	type
23412	gene
51397	gene
8607	gene
1736	gene
6992	gene
5501	gene
5499	gene
1838	gene
23308	gene
1432	gene
23363	gene
4849	gene
8079	gene
10049	gene
374291	gene
29078	gene
4720	gene
90423	gene
23673	gene
8674	gene
4726	gene
3064	gene
55626	gene
4094	gene
468	gene
2081	gene
11160	gene
10613	gene
10772	gene
3281	gene
8815	gene
23405	gene
23077	gene
2220	gene
10594	gene
23020	gene
8481	gene
54472	gene
10040	gene
3937	gene
9402	gene
23645	gene
8666	gene
9131	gene
1457	gene
874	gene
3417	gene
1678	gene
10254	gene
8694	gene
11230	gene
10550	gene
5356	gene
10286	gene
7965	gene
10539	gene
2896	gene
57019	gene
200081	gene
8687	gene
9025	gene
9656	gene
9670	gene
267	gene
6464	gene
9133	gene
9217	gene
10897	gene
51366	gene
10533	gene
4714	gene
4701	gene
11130	gene
984	gene
11143	gene
7466	gene
8807	gene
6175	gene
55272	gene
126003	gene
2064	gene
10051	gene
10592	gene
23411	gene
53938	gene
10569	gene
9372	gene
3312	gene
65220	gene
5116	gene
8089	gene
3725	gene
4772	gene
5509	gene
6780	gene
8436	gene
9532	gene
92597	gene
9113	gene
9730	gene
8940	gene
200734	gene
84433	gene
8915	gene
9189	gene
5525	gene
7468	gene
28958	gene
4512	gene
4513	gene
6647	gene
4860	gene
3251	gene
23479	gene
2908	gene
975	gene
715	gene
87	gene
4938	gene
5265	gene
6654	gene
3265	gene
4043	gene
7048	gene
7040	gene
796	gene
2641	gene
3630	gene
7124	gene
8717	gene
1234	gene
920	gene
3134	gene
3122	gene
3123	gene
3014	gene
4000	gene
9631	gene
335	gene
56975	gene
2244	gene
2266	gene
3075	gene
1401	gene
325	gene
713	gene
714	gene
350	gene
3678	gene
7276	gene
213	gene
7037	gene
3077	gene
7018	gene
2512	gene
2495	gene
1616	gene
6714	gene
2810	gene
5605	gene
5604	gene
5037	gene
3845	gene
301	gene
3858	gene
3848	gene
2157	gene
7450	gene
5550	gene
2597	gene
6279	gene
2065	gene
4914	gene
7443	gene
142	gene
5518	gene
4869	gene
5527	gene
3146	gene
7337	gene
55159	gene
7486	gene
6184	gene
476	gene
7042	gene
320	gene
7345	gene
5663	gene
3690	gene
3685	gene
3687	gene
3689	gene
10048	gene
6280	gene
3597	gene
3565	gene
3561	gene
5054	gene
716	gene
3426	gene
3570	gene
3569	gene
3329	gene
5599	gene
2353	gene
5879	gene
5602	gene
6741	gene
3688	gene
3673	gene
3932	gene
5777	gene
6850	gene
867	gene
2934	gene
1523	gene
2308	gene
506	gene
914	gene
1048	gene
54984	gene
3945	gene
140609	gene
5034	gene
354	gene
302	gene
2811	gene
203068	gene
4690	gene
916	gene
3320	gene
26973	gene
5566	gene
4067	gene
51206	gene
6520	gene
3326	gene
8452	gene
2324	gene
6195	gene
2260	gene
2931	gene
3645	gene
2288	gene
10598	gene
5788	gene
4233	gene
5781	gene
718	gene
6625	gene
10399	gene
6218	gene
1153	gene
6626	gene
2247	gene
7429	gene
1435	gene
8050	gene
1738	gene
9775	gene
2547	gene
7520	gene
836	gene
3433	gene
3434	gene
7189	gene
226	gene
230	gene
3579	gene
3576	gene
6348	gene
4086	gene
572	gene
578	gene
27113	gene
10987	gene
7295	gene
10628	gene
4217	gene
1329	gene
1039	gene
5573	gene
5295	gene
3815	gene
55157	gene
51726	gene
10475	gene
5898	gene
613	gene
8266	gene
6256	gene
7421	gene
5091	gene
26088	gene
3482	gene
9582	gene
51361	gene
23112	gene
1981	gene
23708	gene
5111	gene
1026	gene
2237	gene
293	gene
4582	gene
3791	gene
4301	gene
5591	gene
54386	gene
211	gene
26073	gene
6351	gene
6050	gene
6352	gene
5033	gene
5576	gene
5551	gene
2071	gene
3646	gene
9099	gene
166	gene
1020	gene
6628	gene
3416	gene
4318	gene
3558	gene
3560	gene
3728	gene
10666	gene
5817	gene
2107	gene
2935	gene
3458	gene
3459	gene
64755	gene
126353	gene
3726	gene
4832	gene
4830	gene
4833	gene
1728	gene
7422	gene
672	gene
78999	gene
942	gene
1493	gene
941	gene
488	gene
3574	gene
3575	gene
8531	gene
8834	gene
3454	gene
6418	gene
7343	gene
3727	gene
1674	gene
4089	gene
1051	gene
3135	gene
6898	gene
1503	gene
1655	gene
7494	gene
1378	gene
29966	gene
6950	gene
10238	gene
6129	gene
5786	gene
7936	gene
6382	gene
Q08AF8	gene
8945	gene
22926	gene
1000	gene
22941	gene
10657	gene
4691	gene
2959	gene
5434	gene
4729	gene
7132	gene
902	gene
6737	gene
5468	gene
2920	gene
1380	gene
945	gene
49855	gene
4599	gene
4001	gene
3383	gene
3683	gene
919	gene
7535	gene
4068	gene
4763	gene
7416	gene
6389	gene
9319	gene
1312	gene
10606	gene
10273	gene
7317	gene
4831	gene
9429	gene
5167	gene
1398	gene
7529	gene
1399	gene
10971	gene
3479	gene
3487	gene
2235	gene
7507	gene
5430	gene
6917	gene
5725	gene
6421	gene
2332	gene
7283	gene
9601	gene
5479	gene
54808	gene
6188	gene
4738	gene
5793	gene
54810	gene
1072	gene
6240	gene
79577	gene
55197	gene
58490	gene
1033	gene
79892	gene
4172	gene
6046	gene
355	gene
498	gene
515	gene
5685	gene
56478	gene
57532	gene
1786	gene
22827	gene
11338	gene
102724594	gene
5774	gene
7531	gene
10298	gene
5595	gene
6197	gene
6196	gene
29956	gene
527	gene
3627	gene
6356	gene
4283	gene
6134	gene
790	gene
811	gene
6646	gene
821	gene
7850	gene
5293	gene
5291	gene
29851	gene
940	gene
5290	gene
4719	gene
5424	gene
5594	gene
5494	gene
1843	gene
5797	gene
84988	gene
7174	gene
2066	gene
3592	gene
3593	gene
1937	gene
1936	gene
1198	gene
4939	gene
25824	gene
2923	gene
6890	gene
51765	gene
55038	gene
5519	gene
5520	gene
6272	gene
4035	gene
54949	gene
2664	gene
5861	gene
4143	gene
4144	gene
5577	gene
6241	gene
2475	gene
5170	gene
3189	gene
6548	gene
2011	gene
55177	gene
10963	gene
978	gene
1635	gene
2965	gene
2967	gene
3799	gene
158067	gene
4176	gene
6383	gene
3305	gene
3308	gene
1495	gene
3596	gene
5981	gene
5982	gene
6146	gene
2200	gene
3741	gene
2521	gene
4113	gene
8021	gene
405	gene
196	gene
54474	gene
3956	gene
3339	gene
5701	gene
5705	gene
5507	gene
23076	gene
6821	gene
23636	gene
4927	gene
9818	gene
10204	gene
6844	gene
1191	gene
27316	gene
10656	gene
25920	gene
2274	gene
8161	gene
3313	gene
56159	gene
6223	gene
641	gene
29079	gene
908	gene
10694	gene
3091	gene
6923	gene
8453	gene
6774	gene
6667	gene
9101	gene
5195	gene
5824	gene
5985	gene
604	gene
84708	gene
8260	gene
5504	gene
2617	gene
6776	gene
317	gene
1029	gene
8554	gene
2823	gene
55660	gene
2023	gene
4716	gene
1337	gene
1345	gene
6137	gene
4725	gene
5315	gene
9470	gene
1537	gene
3301	gene
6124	gene
93621	gene
9782	gene
933	gene
10135	gene
5704	gene
5700	gene
5480	gene
3619	gene
23468	gene
3930	gene
5601	gene
4214	gene
6416	gene
8775	gene
4905	gene
8454	gene
472	gene
4851	gene
5606	gene
6125	gene
6158	gene
6193	gene
6204	gene
4734	gene
90624	gene
7386	gene
356	gene
10379	gene
3455	gene
7109	gene
5714	gene
22948	gene
286887	gene
10763	gene
6782	gene
90411	gene
3998	gene
2194	gene
7203	gene
81565	gene
1063	gene
5557	gene
5558	gene
8892	gene
8890	gene
9972	gene
5903	gene
5664	gene
7249	gene
51199	gene
636	gene
22929	gene
4361	gene
2177	gene
4223	gene
1437	gene
2665	gene
2010	gene
5830	gene
10575	gene
5092	gene
54623	gene
9883	gene
5868	gene
5878	gene
8411	gene
5977	gene
6597	gene
858	gene
7852	gene
9111	gene
6777	gene
4331	gene
4670	gene
3842	gene
9500	gene
64802	gene
5608	gene
396	gene
10181	gene
54821	gene
8772	gene
23647	gene
23173	gene
9632	gene
11232	gene
5428	gene
5886	gene
5710	gene
55768	gene
7508	gene
5708	gene
7009	gene
55666	gene
55968	gene
2150	gene
842	gene
79023	gene
6396	gene
81929	gene
10920	gene
581	gene
637	gene
4170	gene
513	gene
514	gene
8504	gene
11218	gene
50628	gene
348995	gene
57122	gene
55746	gene
53822	gene
51386	gene
9351	gene
5052	gene
3559	gene
7327	gene
4637	gene
60	gene
71	gene
1973	gene
5634	gene
5635	gene
196383	gene
10890	gene
1627	gene
54165	gene
9040	gene
9978	gene
7334	gene
51552	gene
10096	gene
10097	gene
10980	gene
9318	gene
2873	gene
6189	gene
6154	gene
84305	gene
4116	gene
6168	gene
6242	gene
387	gene
6093	gene
3107	gene
3106	gene
4864	gene
10577	gene
3190	gene
55835	gene
26520	gene
26519	gene
6201	gene
26051	gene
6331	gene
51177	gene
6217	gene
6208	gene
6222	gene
6235	gene
6637	gene
6635	gene
8487	gene
6636	gene
6632	gene
6633	gene
57819	gene
6634	gene
27258	gene
5436	gene
6191	gene
3021	gene
6209	gene
6230	gene
6231	gene
6234	gene
2782	gene
55832	gene
2783	gene
6135	gene
6233	gene
29760	gene
6434	gene
4688	gene
57531	gene
10055	gene
26232	gene
6500	gene
26270	gene
84759	gene
7020	gene
9168	gene
3608	gene
10492	gene
60559	gene
23478	gene
1460	gene
6749	gene
11335	gene
3040	gene
3043	gene
3048	gene
1982	gene
6868	gene
94031	gene
91949	gene
10951	gene
26097	gene
2079	gene
6428	gene
221937	gene
5935	gene
161291	gene
57198	gene
54205	gene
4259	gene
7019	gene
1213	gene
4791	gene
6652	gene
3192	gene
6232	gene
1915	gene
51065	gene
56915	gene
5394	gene
51010	gene
23016	gene
51013	gene
22894	gene
23404	gene
4919	gene
9590	gene
284119	gene
4598	gene
23476	gene
1660	gene
7088	gene
5588	gene
6742	gene
7704	gene
5133	gene
1969	gene
695	gene
140809	gene
6789	gene
2296	gene
2697	gene
598	gene
22861	gene
10075	gene
6426	gene
51651	gene
4846	gene
5862	gene
79169	gene
10318	gene
2033	gene
388324	gene
684	gene
9772	gene
10228	gene
79901	gene
8417	gene
1107	gene
3609	gene
5511	gene
1891	gene
80143	gene
6788	gene
166824	gene
10036	gene
51422	gene
5562	gene
8893	gene
3929	gene
10549	gene
6811	gene
8991	gene
8668	gene
23421	gene
7335	gene
6400	gene
10956	gene
4093	gene
2130	gene
4087	gene
23001	gene
9817	gene
8899	gene
545	gene
1978	gene
